"Informazioni cronologiche","Genere","Età","La personalità del chatbot era realistica e coinvolgente. ","Il chatbot sembrava troppo robotico. ","Il chatbot era accogliente durante la configurazione iniziale. ","Il chatbot è sembrato molto poco amichevole. ","Il chatbot ha spiegato chiaramente il proprio ambito e scopo. ","Il chatbot non ha fornito indicazioni chiare sul proprio scopo. ","È stato facile navigare all'interno del chatbot. ","L'utilizzo del chatbot potrebbe risultare facilmente confusionario. ","Il chatbot ha compreso bene le mie richieste. ","Il chatbot non è riuscito a riconoscere molte delle mie richieste. ","Le risposte del chatbot erano utili, appropriate e informative. ","Le risposte del chatbot erano irrilevanti. ","Il chatbot ha gestito bene eventuali errori o imprecisioni. ","Il chatbot sembrava incapace di gestire eventuali errori. ","L'utilizzo del chatbot è risultato molto semplice. ","Il chatbot è risultato eccessivamente complesso. ","Il chatbot ti ha fatto sentire a tuo agio. ","Il chatbot ti è sembrato poco accogliente. ","Il chatbot è stato efficace nel fornire sostegno. ","Il chatbot è stato inefficace nel fornire sostegno. ","Le risposte del chatbot ti hanno fatto sentire bene e compreso. ","Le risposte del chatbot ti hanno fatto sentire scoraggiato e incompreso. ","Gli strumenti offerti dal chatbot erano utili per monitorare il tuo stato d'animo. ","Gli strumenti offerti dal chatbot erano inutili per monitorare il tuo stato d'animo. ","L'esperienza offerta dal chatbot è stata positiva. ","L'esperienza offerta dal chatbot è stata negativa.","Quali sono i lati positivi del chatbot?","Quali sono i lati negativi del chatbot?","Se potessi scegliere, cosa modificheresti?"
"2024/11/26 12:29:12 PM CET","Femmina","25","3","3","3","3","3","3","3","3","3","3","3","2","3","2","4","2","4","2","3","2","3","1","3","2","3","2","Il bot si presenta con un'interfaccia amichevole e accogliente. ","il bot è lento nel fornire informazioni. Deve avere una conversazione costante con l'user","Migliorare la spaziatura del testo, in quanto le risposte appaiono appiccicate l'uno all'altro. Togliere il controllo costante di ogni singola risposta che l'utente fornisce. E' consigliabile applicare il concetto di ""conferma"", solo dopo che le domande siano completate. Dunque, creare un riepilogo di tutte le informazioni ricevute per poi modificare in caso di errore o confermare."
"2024/11/27 11:11:30 AM CET","Uomo","32","5","1","4","1","5","1","4","1","5","1","5","1","4","1","4","2","5","1","5","1","5","1","5","1","5","1","Il chatbot è in grado di sostenere conversazioni anche complesse, conservando memoria dei dettagli fornitigli anche in periodi temporali lontani.","La conferma ad ogni inserimento di dati è leggermente tediosa, e poi la domanda ""Se un trattamento potesse adattarsi al tuo stile di vita e alle tue preferenze, cosa sarebbe importante per te?"" risulta ambigua sul tipo di trattamento.","Inserirei la possibilità di modificare i singoli campi alla fine dell'inserimento totale, senza chiedere conferma ad ogni singolo campo."
"2024/11/27 11:44:11 AM CET","Maschio","27","4","3","5","1","5","1","5","1","5","1","4","1","3","1","5","1","5","1","5","1","5","1","4","4","5","1","Il chatbot parla sempre in maniera molto rispettosa e cerca sempre di fare affermazioni positive o affermazioni che spingono l'utente a prendersi cura di se stesso.","In certe situazioni sembra un po' troppo ""robotico"", come per esempio nella configurazione inziale dove l'utente è invitato a confermare ogni cosa che scrive ed invia al chatbot","Magari cercherei di renderlo meno ""robotico"" trovando un modo diverso per confermare tutte le ""impostazioni"" scelte dall'utente"
"2024/11/27 12:50:36 PM CET","maschio","27","3","5","4","1","4","2","2","3","2","4","3","2","2","4","2","4","3","1","4","1","3","1","3","1","3","1","accogliente","macchinoso, abbastanza lento ","domande querizzabili per esami statistici, niente 5000 conferme"
"2024/11/27 1:55:43 PM CET","Maschio","25","4","3","5","1","2","4","5","1","4","1","4","1","5","1","5","1","4","1","5","1","5","1","4","2","5","1","Approccio accogliente e possibilità di discussione su argomenti vari e diversificati","Dover richiedere la conferma della risposta ripetutamente ","Renderei un po piu chiaro il suo scopo nella parte iniziale"
"2024/11/27 2:22:23 PM CET","Uomo","25","5","2","5","1","5","1","5","2","5","2","5","1","4","3","5","1","5","1","5","1","5","1","5","1","5","1","La possibilità di poter memorizzare le informazioni dell'utente facendo parlare il bot in base ai propri hobby","Si può migliorare ma non ho riscontrato lati propriamente negativi","Niente"
"2024/11/27 4:14:34 PM CET","Maschio","25","4","2","3","1","4","2","3","3","4","2","3","1","2","3","3","2","4","2","3","2","3","2","3","1","4","1","È una buona base per avere un primo sostegno/confronto e ha notevole potenziale per diventare uno strumento molto utile anche in forma di applicazione o di sito web. A volte alcune persone avrebbero bisogno di sentirsi dire anche poche parole dette nel modo giusto e questo chatbot può aiutare in questo grazie alla buona base della funzione di registrazione.","Risulta un po' troppo meccanico e ""robotico"" in alcune cose, come la costante richiesta di conferma ad alcune domande d'inquadramento.","Meno richieste di conferme alle domande d'inquadramento e ampliamento delle domande stesse per permettere al bot di avere più strumenti a disposizione per interfacciarsi con l'utente"
"2024/11/27 4:42:16 PM CET","Maschio","24","3","4","5","1","5","1","5","2","3","2","4","1","5","1","5","1","5","1","4","1","4","1","4","1","5","1","Molto facile da usare, molto espandibile aggiungendo ulteriori domande, gentile","Focalizzato forse troppo sugli hobby","Se possibile cambierei il modo di rispondere facendolo diventare meno dipendende dagli hobby e interessi dell'utente, dandogli un po' di ""inventiva"" del tipo suggerire qualche metodo alternativo per rilassarsi o gestire lo stress che non dipenda dagli hobby dell'utente. Quando l'utente gli fa capire che la sua risposta non è stata molto utile dovrebbe cambiare modo di rispondere (esempio ti dice come rilassarti facendo uno dei tuoi hobby, tu dici che non sei riuscito a rilassarti, lui ti dice di nuovo di fare i tuoi hobby ma potrebbe proporti soluzioni alternative)"
"2024/11/27 5:33:08 PM CET","Maschio","21","4","1","5","1","5","2","3","2","4","1","4","2","3","1","4","1","5","1","5","1","4","2","5","1","5","1","Chiede conferma per ogni informazione inserita che, anche se risulta scomoda, aiuta molto nei casi in cui si sbaglia a scrivere un messaggio.
La ""personalità"" del bot fa sentire l'utente a proprio agio.","La chat libera segue un pattern un po' scomodo di domanda del bot -> risposta dell'utente -> commento del bot -> risposta/commento dell'utente, per poi ripartire dalla domanda del bot lasciando senza un commento o una risposta il secondo messaggio dell'utente.","Il pulsante ""informazioni"": non fa capire bene il suo intento di ricavare dall'utente informazioni aggiuntive."
"2024/11/27 6:11:11 PM CET","Uomo","25","3","3","4","2","4","2","5","3","4","2","3","2","4","2","4","2","4","2","4","2","4","2","3","2","4","2","Non fa mai sentire a disagio","Richiede un eccessivo numero di conferme",""
